value,date
127773000,2005-07-01
127729000,2005-08-01
127734000,2005-09-01
127767994,2005-10-01
127792000,2005-11-01
127795000,2005-12-01
127781000,2006-01-01
127776000,2006-02-01
127761000,2006-03-01
127788000,2006-04-01
127777000,2006-05-01
127825000,2006-06-01
127854000,2006-07-01
127876000,2006-08-01
127862000,2006-09-01
127901000,2006-10-01
127925000,2006-11-01
127935000,2006-12-01
127925000,2007-01-01
127938000,2007-02-01
127908000,2007-03-01
127942000,2007-04-01
127925000,2007-05-01
127971000,2007-06-01
128001000,2007-07-01
128024000,2007-08-01
127997000,2007-09-01
128033000,2007-10-01
128047000,2007-11-01
128050000,2007-12-01
128026000,2008-01-01
128020000,2008-02-01
127992000,2008-03-01
128013000,2008-04-01
127999000,2008-05-01
128032000,2008-06-01
128063000,2008-07-01
128075000,2008-08-01
128043000,2008-09-01
128084000,2008-10-01
128098000,2008-11-01
128099000,2008-12-01
128069000,2009-01-01
128048000,2009-02-01
128013000,2009-03-01
128022000,2009-04-01
127996000,2009-05-01
128026000,2009-06-01
128047000,2009-07-01
128040000,2009-08-01
128002000,2009-09-01
128032000,2009-10-01
128055000,2009-11-01
128059000,2009-12-01
128032000,2010-01-01
128052000,2010-02-01
128003000,2010-03-01
128032000,2010-04-01
128011000,2010-05-01
128041000,2010-06-01
128070000,2010-07-01
128069000,2010-08-01
128028000,2010-09-01
128057352,2010-10-01
128066000,2010-11-01
128058000,2010-12-01
128027000,2011-01-01
127994000,2011-02-01
127945000,2011-03-01
127708000,2011-04-01
127749000,2011-05-01
127809000,2011-06-01
127833000,2011-07-01
127838000,2011-08-01
127797000,2011-09-01
127834000,2011-10-01
127839000,2011-11-01
127831000,2011-12-01
127708000,2012-01-01
127678000,2012-02-01
127629000,2012-03-01
127625000,2012-04-01
127584000,2012-05-01
127611000,2012-06-01
127629000,2012-07-01
127625000,2012-08-01
127561000,2012-09-01
127593000,2012-10-01
127593000,2012-11-01
127575000,2012-12-01
127529000,2013-01-01
127501000,2013-02-01
127429000,2013-03-01
127450000,2013-04-01
127409000,2013-05-01
127428000,2013-06-01
127445000,2013-07-01
127445000,2013-08-01
127375000,2013-09-01
127414000,2013-10-01
127413000,2013-11-01
127399000,2013-12-01
127357000,2014-01-01
127315000,2014-02-01
127267000,2014-03-01
127270000,2014-04-01
127235000,2014-05-01
127254000,2014-06-01
127276000,2014-07-01
127270000,2014-08-01
127197000,2014-09-01
127237000,2014-10-01
127240000,2014-11-01
127225000,2014-12-01
127177000,2015-01-01
127158000,2015-02-01
127066000,2015-03-01
127112000,2015-04-01
127080000,2015-05-01
127109000,2015-06-01
127141000,2015-07-01
127128000,2015-08-01
127065000,2015-09-01
127094745,2015-10-01
127104000,2015-11-01
127106000,2015-12-01
127053000,2016-01-01
127050000,2016-02-01
126992000,2016-03-01
127029000,2016-04-01
126988000,2016-05-01
127042000,2016-06-01
127076000,2016-07-01
127067000,2016-08-01
127002000,2016-09-01
127042000,2016-10-01
127055000,2016-11-01
127044000,2016-12-01
126955000,2017-01-01
126933000,2017-02-01
126906000,2017-03-01
126920000,2017-04-01
126893000,2017-05-01
126943000,2017-06-01
126972000,2017-07-01
126949000,2017-08-01
126881000,2017-09-01
126919000,2017-10-01
126934000,2017-11-01
126922000,2017-12-01
126825000,2018-01-01
126851000,2018-02-01
126743000,2018-03-01
126760000,2018-04-01
126732000,2018-05-01
126783000,2018-06-01
126811000,2018-07-01
126785000,2018-08-01
126714000,2018-09-01
126749000,2018-10-01
126765000,2018-11-01
126753000,2018-12-01
126641000,2019-01-01
126642000,2019-02-01
